"Url","Product ID","Titel","Plaatje","Omschrijving","Category Pad","SubCategory","Prijs","Merk","Levertijd","Oude prijs","Kleur","Product maten","Voorraad","Materiaal","Top product","Geslacht","Plaatje 2"
"https://www.jemappelle.nl/chequecadeau","9475","Cadeau Cheque","https://www.jemappelle.nl/media/catalog/product/c/a/cadeau.6_1.jpg","Je bent op zoek naar een cadeautje voor je vriendin, buurvrouw, achternichtje of je moeder? Dit is het allerleukste cadeau om weg te geven! Of juist om te krijgen ; Hier kun je op elke gelegenheid mee aankomen! Wil je een bon van bijvoorbeeld €30? Dan koop je gewoon 2 x €15, pas de probleme ;
","Shawls & Accessoires","Shawls & Accessoires","15,00","Je m appelle","","0,00","","","0","High Gloss Cartonage","","","",
"https://www.jemappelle.nl/la-long-sweatdress-cote","9476","La Long Sweatdress Côte","https://www.jemappelle.nl/media/catalog/product/j/1/j1816.jpg","One of a kind sweatdress met veel mooie details.... Prachtige zachte applicatie met contrast stitching, ton sur ton rib bij de mouwen en de onderkant van de jurk. Ook hier weer contrast tinten. Deze jurk is super met mooie boots. Gemaakt van brushed fleece met een beetje elastan. Geen kreukels, niet strijken....","","Jemappelle","27,00","Je m appelle","","54,98","","","0","95% Brushed Katoen / 5% Elasthan","","","",
"https://www.jemappelle.nl/la-easy-jacket-dark-grey-melange","9588","La Easy Jacket Dark Grey Melange","https://www.jemappelle.nl/media/catalog/product/j/1/j1865.2.jpg","Prachtig getailleerd jasje. Mooi om te combineren met onze easy pant en tops. Natuurlijk ook super op je denim! Omdat er in de de light weight brushed sweatstof ook elastan zit, draagt het extra lekker en blijft het mooi in model. 
","Jackets","Jackets","39,98","Je m appelle","","54,98","","","0","19% Katoen / 76% Polyester / 5% Elastan","","","",
"https://www.jemappelle.nl/la-long-sweatdress-flared-sleeves","9600","La Long Sweatdress Flared Sleeves","https://www.jemappelle.nl/media/catalog/product/j/1/j1825.4.jpg","Classy sweatdress met mooie print. Te leuk met stoere boots. De heerlijke brushed fleece met elastan zorgt voor veel draagplezier. Het mouwtje is de trend van nu!","★ SALE ★ > SALE €10","SALE €10","34,98","Je m appelle","","54,98","","","0","95% Brushed Katoen / 5% Elasthan","","","",
"https://www.jemappelle.nl/le-flared-pant-green","9633","Le Flared Pant Green","https://www.jemappelle.nl/media/catalog/product/j/1/j1985.4.jpg","Mooie broek met panter print en een sparkling elastische contrast band aan de bovenkant. Panter mag je dit seizoen niet missen! Combineer met een zwarte top en schoenen en je bent helemaal ready to go. De broek valt normaal en is van 95% polyester en 5% elasthan.","★ SALE ★","★ SALE ★","15,99","Je m appelle","","42,98","","","0","100% Polyester","","","",
"https://www.jemappelle.nl/le-shirt-glissiere","9653","Le Shirt Glissière ","https://www.jemappelle.nl/media/catalog/product/1/8/1860.13.jpg","Deze mooie zipperblouse heeft zoveel bijzondere details... Deze keer geen knoopjessluiting maar een mooie rits. Het charmante kraagje is gemaakt van zacht glanzende satijn. Erg mooi in combinatie met onze sweater en easy pant.
","Tops & Tanktops","Tops & Tanktops","15,49","Je m appelle","","49,98","","","0","97% Katoen / 3% Elasthan","","","",
"https://www.jemappelle.nl/la-sweatdress-manchon","9671","La Sweatdress Carpe Diem","https://www.jemappelle.nl/media/catalog/product/1/8/1872.3.jpg","Prachtig charmant jurkje met mooie bell sleeves en subtiel artwork: Carpe Diem als embroidery in het zwart waardoor het subtiel zichtbaar is. Gemaakt van heerlijke brushed fleece, draagt fijn en hoeft niet gestreken te worden.","","Jemappelle","18,49","Je m appelle","","54,98","","","0","95% Brushed Katoen / 5% Elasthan","","","",
"https://www.jemappelle.nl/la-long-sweatdress-mme","9677","La Long Sweatdress MME","https://www.jemappelle.nl/media/catalog/product/1/8/1861.4_1.jpg","Black is beautifull! Deze prachtige zwarte sweatdress ziet er niet alleen fantastisch uit, maar draagt ook nog eens heerlijk. Gemaakt van heerlijke brushed fleece. Strijken niet nodig! Met subtiele ton-sur-ton embroiderie.","","Jemappelle","21,49","Je m appelle","","54,98","","","0","95% Brushed Katoen / 5% Elasthan","","","",
"https://www.jemappelle.nl/la-sweatdress-cross-over","9741","La Sweatdress Cross Over","https://www.jemappelle.nl/media/catalog/product/1/8/1815.20.jpg","Deze prachtige sweatdress in mooie gemêleerde bruintinten heeft een bijzonder cross-over detail aan de voorzijde en mooie embroiderie die deze jurk exstra bijzonder maken. Gemaakt van heerlijke brushed fleece met een beetje elastan. Erg mooi in combinatie met onze bruine faux leather legging. 


","Acties > 2 Jurkjes €50","2 Jurkjes €50","44,98","Je m appelle","","54,98","","","0","95% Katoen / 5% Elasthan","","","",
"https://www.jemappelle.nl/le-top-plisse","9995","Le Top Plissé ","https://www.jemappelle.nl/media/catalog/product/2/0/2004.1.jpg","As charming as can be met deze prachtige top met mooie plissé afwerking aan de mouwtjes. En... heel subtiel, een prachtige velvet ton sur ton print. Deze top combineert prachtig met onze tailor pants en faux leather pants.","","Jemappelle","17,49","Je m appelle","","39,98","","","0","95% Viscose / 5% Elastan","","","",
"https://www.jemappelle.nl/le-pant-toujour","10007","Le Pant Toujour Faux Leather","https://www.jemappelle.nl/media/catalog/product/1/9/1996.1_2.jpg","Een absolute musthave deze faux leather pant toujour. Prachtige en heerlijke fit met elastisch tailleband met koord en 2 steekzakken. Dit broekje draag je casual met sneakers maar is ook heel chique met mooie high heels.","★ SALE ★","★ SALE ★","47,98","Je m appelle","","49,98","","","0","85% Polyester / 15% Elastan","","","",
"https://www.jemappelle.nl/le-sweater-toujour","10013","Le Sweater Toujour","https://www.jemappelle.nl/media/catalog/product/2/0/2002.1.jpg","More than a sweater... Mooie top, subtiel afgewerkt met faux leather langs de hals, mouwen en boord. Prachtig op onze faux leather pants, onze tailor pants, maar natuurlijk ook super op je favoriete denim. Gemaakt van heerlijke sweatstof met een beetje elastan.","★ SALE ★ > SALE €10","SALE €10","29,98","Je m appelle","","54,98","","","0","95% Katoen / 5% Elasthan","","","",
"https://www.jemappelle.nl/la-denim-jacket-new-play","10032","La Denim Jacket New Play","https://www.jemappelle.nl/media/catalog/product/2/0/2070.4_1_2.jpg","Dit is zo'n heerlijke basic die niet in je kast mag ontbreken. Wij zijn gek op spijkerjasjes omdat ze overal heel makkelijk mee te combineren zijn. Leuk in plaats van een vest of trui en perfect voor dit najaar. 
Wil je liever dat het iets ruimer valt, neem dan een maatje groter. Dit is een kort model!

","Jackets","Jackets","44,98","Je m appelle","","56,98","","","0","72% Katoen / 26% Polyester / 2% Elastan","","","",
"https://www.jemappelle.nl/le-sweater-tuesday","10087","Le Top TUESDAY","https://www.jemappelle.nl/media/catalog/product/2/0/2056.2.jpg","Deze every day must have is gemaakt van heerlijke sweatstof met een beetje elastan, blijft dus mooi tijdens het dragen, strijken niet nodig. Er is een sweater voor iedere dag van de week, dan hoef je dus niet te kiezen!","★ SALE ★ > SALE €10","SALE €10","29,98","Je m appelle","","54,98","","","0","95% Katoen / 5% Elasthan","","","",
